animal_id,record_date,device_type,start_time,end_time,duration_sec,feed_g,daily_feed_g,weight_g,location,age_day,measurement_day
982091101529889,2023-05-12,NEDAP,2023-05-12T14:34:00Z,2023-05-12T14:43:06Z,546,340,2620,62500,1908,,66
982091101529889,2023-05-12,NEDAP,2023-05-12T15:14:00Z,2023-05-12T15:14:36Z,36,2,2620,,1908,,66
982091101529889,2023-05-12,NEDAP,2023-05-12T15:23:00Z,2023-05-12T15:23:09Z,9,1,2620,,1908,,66
982091101529889,2023-05-12,NEDAP,2023-05-12T17:01:00Z,2023-05-12T17:07:47Z,407,142,2620,63000,1908,,66
982091101529889,2023-05-12,NEDAP,2023-05-12T21:07:00Z,2023-05-12T21:20:34Z,814,478,2620,62500,1908,,66
982091101529889,2023-05-13,NEDAP,2023-05-13T02:41:00Z,2023-05-13T02:51:53Z,653,329,3404,61500,1908,,66
982091101529889,2023-05-13,NEDAP,2023-05-13T06:12:00Z,2023-05-13T06:14:57Z,177,45,3404,62500,1908,,66
982091101529889,2023-05-13,NEDAP,2023-05-13T06:40:00Z,2023-05-13T06:44:32Z,272,44,3404,61000,1908,,66
982091101529889,2023-05-13,NEDAP,2023-05-13T07:40:00Z,2023-05-13T07:43:29Z,209,73,3404,61500,1908,,66
982091101529889,2023-05-13,NEDAP,2023-05-13T07:45:00Z,2023-05-13T07:46:50Z,110,20,3404,61500,1908,,66
982091101529889,2023-05-13,NEDAP,2023-05-13T08:09:00Z,2023-05-13T08:12:28Z,208,20,3404,61500,1908,,66
982091101529889,2023-05-13,NEDAP,2023-05-13T08:15:00Z,2023-05-13T08:24:02Z,542,366,3404,62000,1908,,66
982091101529889,2023-05-13,NEDAP,2023-05-13T12:00:00Z,2023-05-13T12:19:31Z,1171,944,3404,62000,1908,,66
982091101529889,2023-05-13,NEDAP,2023-05-13T15:06:00Z,2023-05-13T15:12:09Z,369,112,3404,62000,1908,,66
982091101529889,2023-05-13,NEDAP,2023-05-13T16:04:00Z,2023-05-13T16:05:26Z,86,8,3404,63000,1908,,66
982091101529889,2023-05-13,NEDAP,2023-05-13T16:23:00Z,2023-05-13T16:32:00Z,540,349,3404,63500,1908,,66
982091101529889,2023-05-13,NEDAP,2023-05-13T19:39:00Z,2023-05-13T19:48:07Z,547,288,3404,63500,1908,,66
982091101529889,2023-05-13,NEDAP,2023-05-13T23:09:00Z,2023-05-13T23:24:59Z,959,806,3404,64000,1908,,66
982091101529889,2023-05-14,NEDAP,2023-05-14T07:53:00Z,2023-05-14T08:02:03Z,543,332,1960,63500,1908,,66
982091101529889,2023-05-14,NEDAP,2023-05-14T08:59:00Z,2023-05-14T09:07:07Z,487,343,1960,63000,1908,,66
982091101529889,2023-05-14,NEDAP,2023-05-14T14:03:00Z,2023-05-14T14:15:09Z,729,479,1960,63000,1908,,66
982091101529889,2023-05-14,NEDAP,2023-05-14T14:32:00Z,2023-05-14T14:36:18Z,258,152,1960,63000,1908,,66
982091101529889,2023-05-14,NEDAP,2023-05-14T16:04:00Z,2023-05-14T16:07:06Z,186,136,1960,63000,1908,,66
982091101529889,2023-05-14,NEDAP,2023-05-14T16:42:00Z,2023-05-14T16:54:55Z,775,338,1960,64000,1908,,66
982091101529889,2023-05-14,NEDAP,2023-05-14T21:11:00Z,2023-05-14T21:11:32Z,32,12,1960,,1908,,66
982091101529889,2023-05-14,NEDAP,2023-05-14T23:21:00Z,2023-05-14T23:28:39Z,459,168,1960,64000,1908,,66
982091101529889,2023-05-15,NEDAP,2023-05-15T05:29:00Z,2023-05-15T05:46:18Z,1038,494,3080,62000,1908,,66
982091101529889,2023-05-15,NEDAP,2023-05-15T07:28:00Z,2023-05-15T07:35:52Z,472,313,3080,63000,1908,,66
982091101529889,2023-05-15,NEDAP,2023-05-15T09:28:00Z,2023-05-15T09:36:42Z,522,325,3080,63000,1908,,66
982091101529889,2023-05-15,NEDAP,2023-05-15T13:30:00Z,2023-05-15T13:44:17Z,857,444,3080,63500,1908,,66
982091101529889,2023-05-15,NEDAP,2023-05-15T16:08:00Z,2023-05-15T16:08:35Z,35,4,3080,,1908,,66
982091101529889,2023-05-15,NEDAP,2023-05-15T17:00:00Z,2023-05-15T17:05:10Z,310,120,3080,63500,1908,,66
982091101529889,2023-05-15,NEDAP,2023-05-15T17:06:00Z,2023-05-15T17:13:15Z,435,348,3080,64000,1908,,66
982091101529889,2023-05-15,NEDAP,2023-05-15T20:09:00Z,2023-05-15T20:18:09Z,549,305,3080,64000,1908,,66
982091101529889,2023-05-15,NEDAP,2023-05-15T20:20:00Z,2023-05-15T20:26:03Z,363,280,3080,64500,1908,,66
982091101529889,2023-05-15,NEDAP,2023-05-15T22:54:00Z,2023-05-15T23:04:09Z,609,447,3080,65000,1908,,66
982091101529889,2023-05-16,NEDAP,2023-05-16T08:11:00Z,2023-05-16T08:31:30Z,1230,845,2766,65000,1908,,66
982091101529889,2023-05-16,NEDAP,2023-05-16T09:20:00Z,2023-05-16T09:21:52Z,112,53,2766,65500,1908,,66
982091101529889,2023-05-16,NEDAP,2023-05-16T12:49:00Z,2023-05-16T12:53:55Z,295,147,2766,65500,1908,,66
982091101529889,2023-05-16,NEDAP,2023-05-16T13:21:00Z,2023-05-16T13:25:49Z,289,198,2766,66000,1908,,66
982091101529889,2023-05-16,NEDAP,2023-05-16T15:31:00Z,2023-05-16T15:36:17Z,317,254,2766,65500,1908,,66
982091101529889,2023-05-16,NEDAP,2023-05-16T16:50:00Z,2023-05-16T16:51:30Z,90,68,2766,66500,1908,,66
982091101529889,2023-05-16,NEDAP,2023-05-16T17:04:00Z,2023-05-16T17:10:41Z,401,202,2766,67000,1908,,66
982091101529889,2023-05-16,NEDAP,2023-05-16T19:14:00Z,2023-05-16T19:19:25Z,325,189,2766,66500,1908,,66
982091101529889,2023-05-16,NEDAP,2023-05-16T20:49:00Z,2023-05-16T21:00:44Z,704,511,2766,67000,1908,,66
982091101529889,2023-05-16,NEDAP,2023-05-16T23:50:00Z,2023-05-16T23:58:23Z,503,299,2766,67000,1908,,66
