animal_id,record_date,daily_feed_g,daily_weight_g,age_day,visits_n,visits_n_valid,total_duration_sec,location,n_outlier_wt,n_outlier_feed,has_feed_out_of_range_today,is_imputed_wt,is_imputed_feed,cum_feed,weight_kg,pred_cum_feed,pred_daily_feed
ID085,2025-10-04,881,39860.2111519603,,7,7,2141,91,0,0,FALSE,FALSE,FALSE,,,,
ID085,2025-10-05,1695,40189.8723035875,,5,5,3255,91,0,0,FALSE,FALSE,FALSE,,,,
ID085,2025-10-06,1395,44454.4962048338,,9,9,2759,91,0,0,FALSE,FALSE,FALSE,,,,
ID085,2025-10-07,1786,44564.3335224648,,6,6,3540,91,0,0,FALSE,FALSE,FALSE,,,,
ID085,2025-10-08,1564,42473.6693513377,,4,4,2940,91,0,0,FALSE,FALSE,FALSE,,,,
ID085,2025-10-09,1698,44225,,4,4,3340,91,0,0,FALSE,FALSE,FALSE,,,,
ID085,2025-10-10,2068,45140,,5,5,3416,91,0,0,FALSE,FALSE,FALSE,,,,
ID085,2025-10-11,1471.42405151149,48140.5119344551,,8,7,2276,91,0,1,FALSE,FALSE,FALSE,,,,
ID085,2025-10-12,1798,47200,,7,7,3456,91,0,0,FALSE,FALSE,FALSE,,,,
ID085,2025-10-13,2539,48512.5,,8,8,4261,91,0,0,FALSE,FALSE,FALSE,,,,
ID085,2025-10-14,3000,50144.4444444445,,9,9,4715,91,0,0,FALSE,FALSE,FALSE,,,,
ID085,2025-10-15,2235,50455.5555555556,,9,9,4105,91,0,0,FALSE,FALSE,FALSE,,,,
ID085,2025-10-16,2221,51500,,11,11,3954,91,0,0,FALSE,FALSE,FALSE,,,,
ID085,2025-10-17,2637,53559.46147948,,12,12,4528,91,0,0,FALSE,FALSE,FALSE,,,,
ID085,2025-10-18,911,50700,,1,1,1255,91,0,0,FALSE,FALSE,FALSE,,,,
ID085,2025-10-19,2260,53571.4285714286,,7,7,3849,91,0,0,FALSE,FALSE,FALSE,,,,
ID085,2025-10-20,2789,55466.6666666667,,6,6,4644,91,0,0,FALSE,FALSE,FALSE,,,,
ID085,2025-10-21,2275,56233.3333333333,,6,6,3224,91,0,0,FALSE,FALSE,FALSE,,,,
ID085,2025-10-22,2649,57216.6666666667,,6,6,3816,91,0,0,FALSE,FALSE,FALSE,,,,
ID085,2025-10-23,2746,58544.4444444445,,9,9,4796,91,0,0,FALSE,FALSE,FALSE,,,,
ID085,2025-10-24,2526,59139.518461302,,15,15,4348,91,0,0,FALSE,FALSE,FALSE,,,,
ID085,2025-10-25,2959.42405151149,61769.2307692308,,14,13,4160,91,1,1,FALSE,FALSE,FALSE,,,,
ID085,2025-10-26,2177,61488.8888888889,,9,9,3170,91,0,0,FALSE,FALSE,FALSE,,,,
ID085,2025-10-27,3120,62820,,5,5,4424,91,0,0,FALSE,FALSE,FALSE,,,,
ID085,2025-10-28,2954,63400,,8,8,4062,91,0,0,FALSE,FALSE,FALSE,,,,
ID085,2025-10-29,3583,66220,,5,5,5523,91,0,0,FALSE,FALSE,FALSE,,,,
ID085,2025-10-30,2657,66080,,5,5,3980,91,0,0,FALSE,FALSE,FALSE,,,,
ID085,2025-10-31,2937,67240,,10,10,4035,91,0,0,FALSE,FALSE,FALSE,,,,
ID085,2025-11-01,2113,66971.4285714286,,7,7,2859,91,0,0,FALSE,FALSE,FALSE,,,,
ID085,2025-11-02,3261,68771.4285714286,,7,7,4679,91,0,0,FALSE,FALSE,FALSE,,,,
ID085,2025-11-03,2600,70250,,8,8,3280,91,0,0,FALSE,FALSE,FALSE,,,,
ID085,2025-11-04,2419,70800,,12,12,3532,91,0,0,FALSE,FALSE,FALSE,,,,
ID085,2025-11-05,2321,71718.1818181818,,11,11,3372,91,0,0,FALSE,FALSE,FALSE,,,,
ID085,2025-11-06,2846,72975,,8,8,3822,91,0,0,FALSE,FALSE,FALSE,,,,
ID085,2025-11-07,2406,74376.8509777396,,12,12,2994,91,0,0,FALSE,FALSE,FALSE,,,,
ID085,2025-11-08,2969,75268.75,,16,16,3473,91,0,0,FALSE,FALSE,FALSE,,,,
ID085,2025-11-09,2263,75788.8888888889,,9,9,2450,91,0,0,FALSE,FALSE,FALSE,,,,
ID085,2025-11-10,2491,77618.1818181818,,11,11,2977,91,0,0,FALSE,FALSE,FALSE,,,,
ID085,2025-11-11,3204,78414.2857142857,,7,7,3798,91,0,0,FALSE,FALSE,FALSE,,,,
ID085,2025-11-12,2939.42405151149,78146.6666666667,,16,15,2111,91,1,1,FALSE,FALSE,FALSE,,,,
ID085,2025-11-13,3464,80367.8347104213,,10,10,3752,91,0,0,FALSE,FALSE,FALSE,,,,
ID085,2025-11-14,3522,82708.9299522588,,17,17,3714,91,0,0,FALSE,FALSE,FALSE,,,,
ID085,2025-11-15,3677.42405151149,83626.445845014,,17,16,3761,91,0,1,FALSE,FALSE,FALSE,,,,
ID085,2025-11-16,3582,84855.5035935097,,21,21,3822,91,0,0,FALSE,FALSE,FALSE,,,,
ID085,2025-11-17,3023,85316.6666666667,,31,31,3157,91,1,0,FALSE,FALSE,FALSE,,,,
ID085,2025-11-18,3050,86008.3333333333,,12,12,3508,91,0,0,FALSE,FALSE,FALSE,,,,
ID085,2025-11-19,1927.42405151149,83657.8947368421,,19,18,1617,91,0,1,FALSE,FALSE,FALSE,,,,
ID085,2025-11-20,3691,86300,,17,17,3998,91,1,0,FALSE,FALSE,FALSE,,,,
ID085,2025-11-21,2911,86022.2222222222,,9,9,3086,91,0,0,FALSE,FALSE,FALSE,,,,
ID085,2025-11-22,3119.42405151149,87907.6923076923,,13,12,3478,91,0,1,FALSE,FALSE,FALSE,,,,
ID085,2025-11-23,2388.42405151149,87565.3846153846,,28,27,2334,91,2,1,FALSE,FALSE,FALSE,,,,
ID085,2025-11-24,3036.42405151149,89533.7106138425,,47,46,2738,91,3,1,FALSE,FALSE,FALSE,,,,
ID085,2025-11-25,2628.42405151149,89125.5430153603,,46,45,2258,91,5,1,FALSE,FALSE,FALSE,,,,
ID085,2025-11-26,1181,92550,,4,4,1191,91,0,0,FALSE,FALSE,FALSE,,,,
ID085,2025-11-27,2853.42405151149,94764.7058823529,,34,32,2208,91,0,2,FALSE,FALSE,FALSE,,,,
ID085,2025-11-28,3543.42405151149,97168.1818181818,,22,21,3548,91,0,1,FALSE,FALSE,FALSE,,,,
ID085,2025-11-29,4035,100276.666666667,,37,37,3290,91,7,0,FALSE,FALSE,FALSE,,,,
ID085,2025-11-30,3061,99508.5714285714,,39,39,2517,91,4,0,FALSE,FALSE,FALSE,,,,
ID085,2025-12-01,3325,99983.3333333333,,31,31,2681,91,1,0,FALSE,FALSE,FALSE,,,,
ID085,2025-12-02,3430,99660.6060606061,,36,36,3077,91,3,0,FALSE,FALSE,FALSE,,,,
ID085,2025-12-03,2944.42405151149,96699.0413327892,,33,32,2669,91,0,1,FALSE,FALSE,FALSE,,,,
ID085,2025-12-04,4437.42405151149,100035.714285714,,28,27,3968,91,0,1,FALSE,FALSE,FALSE,,,,
ID085,2025-12-05,2917,100429.553891811,,21,21,2721,91,0,0,FALSE,FALSE,FALSE,,,,
ID085,2025-12-06,4316,102433.333333333,,16,16,4015,91,1,0,FALSE,FALSE,FALSE,,,,
ID085,2025-12-07,2586,102837.5,,8,8,2739,91,0,0,FALSE,FALSE,FALSE,,,,
ID085,2025-12-08,4075.42405151149,103205.033144191,,26,25,3559,91,1,1,FALSE,FALSE,FALSE,,,,
ID085,2025-12-09,1979,103343.420783522,,15,15,2183,91,0,0,FALSE,FALSE,FALSE,,,,
ID085,2025-12-10,1858,102835.714285714,,14,14,1975,91,0,0,FALSE,FALSE,FALSE,,,,
ID085,2025-12-11,2396.42405151149,102490.97955265,,14,13,2231,91,0,1,FALSE,FALSE,FALSE,,,,
ID085,2025-12-12,1520,101235.889443068,,15,15,1058,91,2,0,FALSE,FALSE,FALSE,,,,
ID085,2025-12-13,3706,106031.621632825,,13,13,2962,91,0,0,FALSE,FALSE,FALSE,,,,
ID085,2025-12-14,4030.42405151149,107813.636363636,,22,21,3530,91,0,1,FALSE,FALSE,FALSE,,,,
ID085,2025-12-15,4796.42405151149,109615.081622199,,15,14,3843,91,0,1,FALSE,FALSE,FALSE,,,,
ID085,2025-12-16,3344.42405151149,111067.857142857,,29,28,2451,91,1,1,FALSE,FALSE,FALSE,,,,
ID085,2025-12-17,4504,111386.242727345,,28,28,3609,91,0,0,FALSE,FALSE,FALSE,,,,
ID085,2025-12-18,2976.42405151149,111435.714285714,,14,12,2777,91,0,2,FALSE,FALSE,FALSE,,,,
ID085,2025-12-19,3562.42405151149,111649.308721104,,21,20,2910,91,0,1,FALSE,FALSE,FALSE,,,,
ID085,2025-12-20,4113.42405151149,114621.428571429,,14,13,3813,91,0,1,FALSE,FALSE,FALSE,,,,
ID085,2025-12-21,3941,114530.114978088,,22,22,3151,91,0,0,FALSE,FALSE,FALSE,,,,
ID085,2025-12-22,4459.42405151149,116333.362042639,,20,19,3745,91,0,1,FALSE,FALSE,FALSE,,,,
ID085,2025-12-23,2713,117234.079786834,,24,24,2165,91,1,0,FALSE,FALSE,FALSE,,,,
ID085,2025-12-24,2225.42405151149,114313.175622586,,26,25,1491,91,1,1,FALSE,FALSE,FALSE,,,,
ID085,2025-12-25,3835.42405151149,116370.773375887,,31,30,3682,91,2,1,FALSE,FALSE,FALSE,,,,
ID086,2025-09-12,172.42405151149,21262.9854233805,,2,1,150,91,2,1,FALSE,TRUE,FALSE,,,,
ID086,2025-09-13,197.42405151149,21248.7863946469,,5,4,152,91,5,1,FALSE,TRUE,FALSE,,,,
ID086,2025-09-14,239.42405151149,21190.1402009074,,6,3,240,91,5,3,FALSE,FALSE,FALSE,,,,
ID086,2025-09-15,366.42405151149,21683.2251370333,,16,11,758,91,16,5,FALSE,TRUE,FALSE,,,,
ID086,2025-09-16,352.42405151149,22144.3146507671,,13,9,940,91,10,4,FALSE,FALSE,FALSE,,,,
ID086,2025-09-17,1074.42405151149,22450.8382966535,,16,15,1934,91,16,1,FALSE,TRUE,FALSE,,,,
ID086,2025-09-18,488.42405151149,22769.8136866931,,13,11,757,91,13,2,FALSE,TRUE,FALSE,,,,
ID086,2025-09-19,662.42405151149,23075.1634094017,,16,14,1559,91,15,2,FALSE,FALSE,FALSE,,,,
ID086,2025-09-20,932.42405151149,23549.6511315832,,16,15,2913,91,16,1,FALSE,TRUE,FALSE,,,,
ID086,2025-09-21,1109,23914.0383079079,,16,16,3295,91,15,0,FALSE,FALSE,FALSE,,,,
