device,pattern,arm,kind,span,degree,rate_realised,mean_span_pts,acc,bias,coverage,adfi_r,acc_affected,n_gap,n_loess,n_fallback,n_branch_loess,n_branch_fcr,n_branch_skip,n_fit_failed,n_na_days,runtime_s
FIRE,5d,raw_zero_s0.30_d2,raw_zero,0.3,2,0.0997931996344924,29.2842857142857,0.897379194021033,-0.102620805978968,1,0.989671438589303,0,303,303,0,140,0,0,0,0,0.252545356750488
FIRE,boundary,prod,prod,0.3,2,0.0999855720675227,,0.943446286045243,0.0324686490204738,1,0.995473563094162,0.183501935748952,2382,,,0,211,0,0,0,1.10735034942627
FIRE,boundary,pure_s0.10_d1,pure,0.1,1,0.0999855720675227,8.86919431279621,0.94379515502978,0.0321833752104545,1,0.995673805518943,0.188538755272064,2382,180,2202,211,0,0,0,0,0.420871257781982
FIRE,boundary,pure_s0.10_d2,pure,0.1,2,0.0999855720675227,8.86919431279621,0.9437899681047,0.0321780617831391,1,0.995665115882855,0.188463868690955,2382,180,2202,211,0,0,0,0,0.435758590698242
FIRE,boundary,pure_s0.20_d1,pure,0.2,1,0.0999855720675227,17.7383886255924,0.943739630502144,0.0323020758014266,1,0.995648914101325,0.187737116154794,2382,180,2202,211,0,0,0,0,0.417150735855103
FIRE,boundary,pure_s0.20_d2,pure,0.2,2,0.0999855720675227,17.7383886255924,0.94377391698827,0.0322362380155324,1,0.995671634225686,0.188232129613579,2382,180,2202,211,0,0,0,0,0.412516117095947
FIRE,boundary,pure_s0.30_d1,pure,0.3,1,0.0999855720675227,26.6075829383886,0.943707568589272,0.0323686093959507,1,0.995639020100645,0.187274220122589,2382,180,2202,211,0,0,0,0,0.497397184371948
FIRE,boundary,pure_s0.30_d2,pure,0.3,2,0.0999855720675227,26.6075829383886,0.943764785668614,0.0322620592410456,1,0.995674307973619,0.188100295569407,2382,180,2202,211,0,0,0,0,0.42264199256897
FIRE,boundary,pure_s0.50_d1,pure,0.5,1,0.0999855720675227,44.345971563981,0.943685470301286,0.0324170593821452,1,0.995644166627564,0.186955174597505,2382,180,2202,211,0,0,0,0,0.418407201766968
FIRE,boundary,pure_s0.50_d2,pure,0.5,2,0.0999855720675227,44.345971563981,0.943677736137453,0.0324138683456343,1,0.995642015696913,0.186843512084879,2382,180,2202,211,0,0,0,0,0.416559219360352
