device,pattern,arm,kind,k,bs,family,span,degree,min_valid,rate_realised,acc,bias,coverage,adfi_r,acc_affected,n_interior,n_outward_days,acc_interior,acc_outward,n_na_days,n_gap,n_smooth,n_fallback,n_self_extrap,n_negative_pred,mean_edf,mean_span_pts,n_branch_gam,n_branch_fcr,n_branch_skip,n_fit_failed,runtime_s
FIRE,14d,loess_s1.00_d1,pure,,,,1,1,,0.0996489203097196,0.975015051594526,-0.00565270510648705,1,0.994259720167061,0.756817935203817,2016,56,0.767469477657264,0.304295056428093,0,2375,2319,56,0,,,88.2169312169312,0,0,0,0,0.36752200126648
FIRE,14d,loess_s1.00_d2,pure,,,,1,2,,0.0996489203097196,0.975883902291513,-0.00288127111474731,1,0.994555380242669,0.765274582904822,2016,56,0.776192335809286,0.301441950618626,0,2375,2319,56,0,,,88.2169312169312,0,0,0,0,0.375363349914551
FIRE,14d,nofill,nofill,,,,,,,0.0996489203097196,0.897258260281594,-0.102741739718407,0.90035107969028,0.919597904969497,0,2016,56,0,0,2072,2375,,0,0,0,,,0,0,0,0,0.014096736907959
FIRE,14d,pop_k6_cr,gam_pop,6,cr,gaussian,,,10,0.0996489203097196,0.976035000404577,-0.00140499064751411,1,0.995313540488706,0.766745242380497,2016,56,0.771011726284673,0.585486839007828,0,2375,2375,0,56,0,4.97367007707032,,189,0,0,0,1.05351614952087
FIRE,14d,pop_k6_cr_mv6,gam_pop,6,cr,gaussian,,,6,0.0996489203097196,0.976035000404577,-0.00140499064751411,1,0.995313540488706,0.766745242380497,2016,56,0.771011726284673,0.585486839007828,0,2375,2375,0,56,0,4.97367007707032,,189,0,0,0,1.37177443504334
FIRE,14d,router_k6_cr,gam_router,6,cr,gaussian,,,10,0.0996489203097196,0.964042599348523,-0.00273313383636683,1,0.979008779980931,0.650021493211733,2016,56,0.658254119376298,0.300264478379798,0,2375,80,0,56,0,3.7755425227959,,38,151,0,0,3.38554072380066
FIRE,2d,gam_k15_cr_gamma,gam_pure,15,cr,Gamma,,,10,0.0999374789592651,0.977046994518787,-0.000902817024334762,1,0.99820653665291,0.771795480987025,2036,42,0.775721385868783,0.328703610276766,0,2381,2381,0,44,0,4.53662980589485,,211,0,0,0,7.61327219009399
FIRE,2d,gam_k15_cr_gauss,gam_pure,15,cr,gaussian,,,10,0.0999374789592651,0.97722371232641,-0.000508178319702506,1,0.998242033780344,0.773552453611928,2036,42,0.777447679892495,0.333923081154106,0,2381,2381,0,44,0,4.46109186557612,,211,0,0,0,6.26849389076233
FIRE,2d,gam_k15_ps_gauss,gam_pure,15,ps,gaussian,,,10,0.0999374789592651,0.977171691877462,-0.000482972113920476,1,0.998234556724961,0.773035253302771,2036,42,0.776960432452378,0.330025291356427,0,2381,2381,0,44,1,4.17564081533561,,211,0,0,0,6.20173215866089
FIRE,2d,gam_k15_tp_gauss,gam_pure,15,tp,gaussian,,,10,0.0999374789592651,0.977173033068662,-0.000541386526630221,1,0.998245185362852,0.773048587760996,2036,42,0.776930392161655,0.334934057372996,0,2381,2381,0,44,0,4.47203295332563,,211,0,0,0,6.26739239692688
FIRE,2d,gam_k3_cr_gauss,gam_pure,3,cr,gaussian,,,10,0.0999374789592651,0.976117171300889,-0.000561759812049985,1,0.998036266971294,0.762550946088051,2036,42,0.765575669546288,0.421169680912916,0,2381,2381,0,44,2,1.79142855655929,,211,0,0,0,7.81050324440002
FIRE,2d,gam_k3_ps_gauss,gam_pure,3,ps,gaussian,,,10,0.0999374789592651,0.964084584023461,-0.00158005676588212,1,0.99482892366106,0.642919955088875,2036,42,0.652127473237008,-0.396273954017976,0,2381,0,2381,44,0,,,0,0,0,211,0.967024564743042
FIRE,2d,gam_k3_tp_gauss,gam_pure,3,tp,gaussian,,,10,0.0999374789592651,0.976120708131937,-0.000528492549530815,1,0.998038428267779,0.762586110146579,2036,42,0.765620044659339,0.420165251934262,0,2381,2381,0,44,2,1.79271015703055,,211,0,0,0,6.86983776092529
FIRE,2d,gam_k6_cr_gamma,gam_pure,6,cr,Gamma,,,10,0.0999374789592651,0.976819441824039,-0.000737829831807769,1,0.998215632082708,0.769533095205023,2036,42,0.773483585567699,0.323666417905987,0,2381,2381,0,44,0,3.52422728518211,,211,0,0,0,6.80954718589783
FIRE,2d,gam_k6_cr_gauss,gam_pure,6,cr,gaussian,,,10,0.0999374789592651,0.977066275916018,-0.000455923656477547,1,0.998213940711647,0.771987181458874,2036,42,0.775961753483264,0.323402560434848,0,2381,2381,0,44,0,3.50393171398535,,211,0,0,0,5.40585708618164
FIRE,2d,gam_k6_ps_gauss,gam_pure,6,ps,gaussian,,,10,0.0999374789592651,0.976907443335826,-0.00038746218069986,1,0.998172231840681,0.770408028236609,2036,42,0.7747691906946,0.278191408073007,0,2381,2381,0,44,1,2.975601106684,,211,0,0,0,6.25020909309387
