device,pattern,arm,kind,k,bs,family,span,degree,min_valid,rate_realised,acc,bias,coverage,adfi_r,acc_affected,n_interior,n_outward_days,acc_interior,acc_outward,n_na_days,n_gap,n_smooth,n_fallback,n_self_extrap,n_negative_pred,mean_edf,mean_span_pts,n_branch_gam,n_branch_fcr,n_branch_skip,n_fit_failed,runtime_s
NEDAP,2d,gam_k15_cr_gauss,gam_pure,15,cr,gaussian,,,10,0.0998563218390805,0.981846734088946,0.00245388767365727,1,0.993793846526488,0.815009544523371,274,4,0.818084909219561,0.620783733093972,0,279,279,0,4,0,2.44915116081831,,42,0,0,0,1.19971060752869
NEDAP,2d,gam_k15_ps_gauss,gam_pure,15,ps,gaussian,,,10,0.0998563218390805,0.981842162330037,0.00246949757893822,1,0.993788584215261,0.814962956115147,274,4,0.818038118107851,0.620749946500496,0,279,279,0,4,0,2.38902108643991,,42,0,0,0,1.27746915817261
NEDAP,2d,gam_k15_tp_gauss,gam_pure,15,tp,gaussian,,,10,0.0998563218390805,0.981846288342051,0.00245167423713904,1,0.993797208038071,0.815005002149481,274,4,0.818080291953098,0.620783920588686,0,279,279,0,4,0,2.45177794970869,,42,0,0,0,1.44896125793457
NEDAP,2d,gam_k3_cr_gauss,gam_pure,3,cr,gaussian,,,10,0.0998563218390805,0.981602281423392,0.00307605541536344,1,0.993348704547796,0.812518455032105,274,4,0.815571786556787,0.619684156817277,0,279,279,0,4,0,1.64535856487859,,42,0,0,0,1.48534321784973
NEDAP,2d,gam_k3_ps_gauss,gam_pure,3,ps,gaussian,,,10,0.0998563218390805,0.976377130689641,0.00235549224187666,1,0.987582989067647,0.759271671841308,274,4,0.76143385706394,0.622718052738337,0,279,0,279,4,0,,,0,0,0,42,0.195823431015015
NEDAP,2d,gam_k3_tp_gauss,gam_pure,3,tp,gaussian,,,10,0.0998563218390805,0.981613255401435,0.00310515409842359,1,0.993337671055469,0.812630285113062,274,4,0.815659261900341,0.621334119478174,0,279,279,0,4,0,1.64293679794618,,42,0,0,0,1.17561411857605
NEDAP,2d,gam_k6_cr_gamma,gam_pure,6,cr,Gamma,,,10,0.0998563218390805,0.981738268031255,0.0024220211750489,1,0.993246690218567,0.8139042235572,274,4,0.816964986350853,0.620600600761997,0,279,279,0,4,0,2.27340749676002,,42,0,0,0,1.33316493034363
NEDAP,2d,gam_k6_cr_gauss,gam_pure,6,cr,gaussian,,,10,0.0998563218390805,0.981678407096204,0.00266615110178854,1,0.993317971178485,0.813294212020181,274,4,0.816344473485976,0.620653804526494,0,279,279,0,4,0,2.27156660983924,,42,0,0,0,1.10662817955017
NEDAP,2d,gam_k6_ps_gauss,gam_pure,6,ps,gaussian,,,10,0.0998563218390805,0.981565015401317,0.00277317064304827,1,0.9930758159595,0.812138696456911,274,4,0.815170108554601,0.620688727879167,0,279,279,0,4,0,2.07274866862255,,42,0,0,0,1.11206579208374
NEDAP,2d,gam_k6_tp_gauss,gam_pure,6,tp,gaussian,,,10,0.0998563218390805,0.981685538325059,0.00265562795739796,1,0.993465209923119,0.813366882650383,274,4,0.816417510146564,0.620703358370299,0,279,279,0,4,0,2.2747682546396,,42,0,0,0,1.08170580863953
NEDAP,2d,loess_s0.30_d1,pure,,,,0.3,1,,0.0998563218390805,0.981488746870359,0.00172657867410346,1,0.992658173462718,0.811361483676044,274,4,0.814348457155029,0.622718052738337,0,279,275,4,0,,,17.9,0,0,0,0,0.0869414806365967
NEDAP,2d,loess_s0.30_d2,pure,,,,0.3,2,,0.0998563218390805,0.980819120200374,0.00166959275655555,1,0.991276457469386,0.804537667879665,274,4,0.807416593298308,0.622718052738337,0,279,275,4,0,,,17.9,0,0,0,0,0.0869655609130859
NEDAP,2d,loess_s0.50_d1,pure,,,,0.5,1,,0.0998563218390805,0.981662522375121,0.00195892754118437,1,0.993251568826717,0.813132339120687,274,4,0.816147352262765,0.622718052738337,0,279,275,4,0,,,29.8333333333333,0,0,0,0,0.0831093788146973
NEDAP,2d,loess_s0.50_d2,pure,,,,0.5,2,,0.0998563218390805,0.981342956086587,0.0020094533443182,1,0.992520889933332,0.809875805912798,274,4,0.81283925522211,0.622718052738337,0,279,275,4,0,,,29.8333333333333,0,0,0,0,0.0825824737548828
NEDAP,2d,loess_s0.75_d1,pure,,,,0.75,1,,0.0998563218390805,0.981493334572927,0.00191828859574186,1,0.993242845065347,0.811408234557773,274,4,0.814395948288582,0.622718052738337,0,279,275,4,0,,,44.75,0,0,0,0,0.0786242485046387
NEDAP,2d,loess_s0.75_d2,pure,,,,0.75,2,,0.0998563218390805,0.981636187312767,0.00249626597844404,1,0.993202762857483,0.8128639722492,274,4,0.815874736079634,0.622718052738337,0,279,275,4,0,,,44.75,0,0,0,0,0.0811376571655273
NEDAP,2d,loess_s1.00_d1,pure,,,,1,1,,0.0998563218390805,0.981370993983994,0.00173739496552425,1,0.993221048205936,0.810161525487309,274,4,0.813129498870357,0.622718052738337,0,279,275,4,0,,,59.6666666666667,0,0,0,0,0.0938725471496582
NEDAP,2d,loess_s1.00_d2,pure,,,,1,2,,0.0998563218390805,0.981426408800468,0.00261526773228138,1,0.993263750064421,0.810726228951124,274,4,0.813703143829042,0.622718052738337,0,279,275,4,0,,,59.6666666666667,0,0,0,0,0.0836763381958008
NEDAP,2d,nofill,nofill,,,,,,,0.0998563218390805,0.901869175551343,-0.0981308244486567,0.90014367816092,0.973312786921134,0,274,4,0,0,278,279,,0,0,0,,,0,0,0,0,0.0084068775177002
NEDAP,2d,pop_k6_cr,gam_pop,6,cr,gaussian,,,10,0.0998563218390805,0.981326882406293,0.00305633254923482,1,0.993793056327252,0.809712007428642,274,4,0.812672863158492,0.622718052738337,0,279,279,0,4,0,4.51955472784404,,42,0,0,0,0.08762526512146
NEDAP,2d,pop_k6_cr_mv6,gam_pop,6,cr,gaussian,,,6,0.0998563218390805,0.981326882406293,0.00305633254923482,1,0.993793056327252,0.809712007428642,274,4,0.812672863158492,0.622718052738337,0,279,279,0,4,0,4.51955472784404,,42,0,0,0,0.22174859046936
NEDAP,2d,router_k6_cr,gam_router,6,cr,gaussian,,,10,0.0998563218390805,0.981678407096204,0.00266615110178854,1,0.993317971178485,0.813294212020181,274,4,0.816344473485976,0.620653804526494,0,279,279,0,4,0,2.27156660983924,,42,0,0,0,1.30188989639282
NEDAP,5d,gam_k15_cr_gamma,gam_pure,15,cr,Gamma,,,10,0.0987787356321839,0.982056211074227,0.0032557829812062,1,0.991919646681093,0.819114145264539,265,10,0.819275907719554,0.812554172633023,0,276,276,0,10,0,2.44020568411697,,42,0,0,0,1.47766447067261
NEDAP,5d,gam_k15_cr_gauss,gam_pure,15,cr,gaussian,,,10,0.0987787356321839,0.982042179561921,0.00320616491421198,1,0.992094446664029,0.818972697875288,265,10,0.818874377387669,0.822959900640224,0,276,276,0,10,0,2.47980041652719,,42,0,0,0,1.22062516212463
NEDAP,5d,gam_k15_ps_gauss,gam_pure,15,ps,gaussian,,,10,0.0987787356321839,0.982080368006222,0.00326033248355895,1,0.992125500535308,0.819357663916573,265,10,0.819260382799364,0.823302716966077,0,276,276,0,10,0,2.40699296053481,,42,0,0,0,1.37662601470947
NEDAP,5d,gam_k15_tp_gauss,gam_pure,15,tp,gaussian,,,10,0.0987787356321839,0.982038095258226,0.00320974553498965,1,0.992095286510349,0.818931525257401,265,10,0.818831424898425,0.822990907363236,0,276,276,0,10,0,2.4815115652842,,42,0,0,0,1.45074939727783
NEDAP,5d,gam_k3_cr_gauss,gam_pure,3,cr,gaussian,,,10,0.0987787356321839,0.981955383205623,0.00319013226339209,1,0.992073873507627,0.818097730321793,265,10,0.818091332425058,0.818357185010942,0,276,276,0,10,0,1.65422640546791,,42,0,0,0,1.46937823295593
NEDAP,5d,gam_k3_ps_gauss,gam_pure,3,ps,gaussian,,,10,0.0987787356321839,0.977424102313747,-0.000588097411021762,1,0.984361354210858,0.772419271855516,265,10,0.780677550026279,0.437520306712587,0,276,0,276,10,0,,,0,0,0,42,0.183979988098145
NEDAP,5d,gam_k3_tp_gauss,gam_pure,3,tp,gaussian,,,10,0.0987787356321839,0.98194781926877,0.00323375634539794,1,0.992011389709021,0.818021480584987,265,10,0.817973234868438,0.819977995031541,0,276,276,0,10,0,1.65446673530495,,42,0,0,0,1.26292562484741
NEDAP,5d,gam_k6_cr_gamma,gam_pure,6,cr,Gamma,,,10,0.0987787356321839,0.982002663524379,0.00318183419974517,1,0.991941336678811,0.818574348772088,265,10,0.8187229877649,0.812546573509111,0,276,276,0,10,0,2.25438668257731,,42,0,0,0,1.37845754623413
NEDAP,5d,gam_k6_cr_gauss,gam_pure,6,cr,gaussian,,,10,0.0987787356321839,0.981973159862649,0.00317379187915389,1,0.992103440385147,0.818276931370899,265,10,0.818161896925103,0.822941937326898,0,276,276,0,10,0,2.27643160950455,,42,0,0,0,1.23748826980591
NEDAP,5d,gam_k6_ps_gauss,gam_pure,6,ps,gaussian,,,10,0.0987787356321839,0.981965758245886,0.00318463851643965,1,0.992089849103576,0.818202317933336,265,10,0.817964589698443,0.827842940131443,0,276,276,0,10,0,2.04748323561334,,42,0,0,0,1.15167903900146
NEDAP,5d,gam_k6_tp_gauss,gam_pure,6,tp,gaussian,,,10,0.0987787356321839,0.982001480771493,0.00325688165240196,1,0.992104603189973,0.818562425801555,265,10,0.818460910840841,0.822679174424777,0,276,276,0,10,0,2.28002798002657,,42,0,0,0,1.15058612823486
NEDAP,5d,loess_s0.30_d1,pure,,,,0.3,1,,0.0987787356321839,0.979886864322913,0.00310346205059628,1,0.987926668481212,0.797245623351333,265,10,0.806797106029219,0.409903177594386,0,276,266,10,0,,,17.9214285714286,0,0,0,0,0.0859534740447998
NEDAP,5d,loess_s0.30_d2,pure,,,,0.3,2,,0.0987787356321839,0.979237128276004,0.00403641773283176,1,0.986773354430017,0.790695832742245,265,10,0.800085804043746,0.409903177594386,0,276,266,10,0,,,17.9214285714286,0,0,0,0,0.0862443447113037
