animal_id,start_date,end_date,test_days,start_weight_g,end_weight_g,total_feed_g,AGE,ADG_g,ADFI_g,FCR,stage_label,stage_min,stage_max
ID078,2026-01-02,2026-04-04,93,33575,108812.653143572,198821.932552589,176,874.856431902002,2137.87024250095,2.6425855172966,30-115kg,30,115
ID080,2026-01-05,2026-04-21,107,34138.1426887156,105093.230427841,202236.673557115,199,713.1164596897,1890.06236969266,2.85020679983741,30-115kg,30,115
ID081,2026-01-02,2026-04-05,94,33882.692950445,113753.109260257,232050.35282072,177,934.156915904229,2468.62077468851,2.90533546138802,30-115kg,30,115
ID084,2026-01-01,2026-04-03,93,35859.528214004,110743.975080362,197047.668513165,177,875.841483817052,2118.79213455016,2.63135639987867,30-115kg,30,115
ID086,2025-12-30,2026-04-21,113,37974,113347,212095.369071395,200,701.144186046512,1876.95016877341,2.81394357490607,30-115kg,30,115
ID087,2025-12-30,2026-03-27,88,32152.0388101461,107954,235151.603836179,152,935.826681356222,2672.17731632022,3.10218363938127,30-115kg,30,115
ID090,2026-01-17,2026-04-22,96,32260.4666666667,111357.389443642,241342.528922696,179,888.729469404223,2513.98467627808,3.05122526198893,30-115kg,30,115
ID091,2025-12-30,2026-03-23,84,32691.510476284,109757.111111111,201130.281775536,162,994.394846900995,2394.40811637543,2.60985809646233,30-115kg,30,115
ID093,2026-01-15,2026-04-21,97,33176.8589857181,110979.91953704,229857.995481544,184,869.307939120919,2369.67005651076,2.95435672906363,30-115kg,30,115
ID095,2025-12-30,2026-03-27,88,31208.2898686052,111028.727272727,198809.860533382,166,979.391869989228,2259.20296060661,2.49071374448663,30-115kg,30,115
ID096,2026-01-11,2026-04-19,99,33467.3333333333,112048.461450989,245692.54309403,191,854.142696931039,2481.74285953566,3.12661002685234,30-115kg,30,115
ID097,2026-01-01,2026-04-20,110,32455.0377996818,107905.327475494,241276.680329547,178,743.35260764347,2193.42436663224,3.19782311461284,30-115kg,30,115
ID099,2026-01-09,2026-04-10,92,30937.1986265433,112099.081777996,247953.808056889,180,971.998600616201,2695.15008757488,3.05505242644743,30-115kg,30,115
ID100,2025-12-30,2026-04-10,102,35252,110990,190211.678111933,164,788.9375,1864.8203736464,2.51144310797662,30-115kg,30,115
ID106,2025-12-30,2026-03-25,86,36244.0312890682,110691.777777778,190190.383506563,152,936.449641367416,2211.51608728562,2.55468288130664,30-115kg,30,115
ID107,2026-01-03,2026-04-07,95,33410.7771499743,114270.49154804,233950.969815884,179,924.111021692182,2462.64178753562,2.89329453557259,30-115kg,30,115
ID108,2026-01-02,2026-03-25,83,32261.9166666667,109046.222222222,195680.884566418,164,997.198773448774,2357.6010188725,2.54844897209935,30-115kg,30,115
ID109,2026-01-02,2026-03-27,85,34587.6174041802,110901.857142857,176317.025044854,167,984.699867595831,2074.31794170417,2.31040793498851,30-115kg,30,115
ID110,2026-01-11,2026-04-24,104,31648.4545603198,110967.482195479,206713.248785482,182,813.52848856574,1987.6273921681,2.60609912839946,30-115kg,30,115
ID111,2025-12-30,2026-03-17,78,45237.4522740776,112439.5,210005.874387474,163,939.88877938353,2692.38300496762,3.12499219136841,30-115kg,30,115
ID112,2025-12-30,2026-04-06,98,31857.9144172957,109925.198992685,214526.095116632,177,857.882248081199,2189.04178690441,2.74796409640027,30-115kg,30,115
ID113,2026-01-08,2026-04-12,95,33965.2916925487,113996.583333333,245228.893445174,169,909.446495918008,2581.3567731071,3.06416263460883,30-115kg,30,115
ID115,2025-12-30,2026-04-09,101,32309.0402430445,112899.255755304,230444.116868439,180,852.806513357245,2281.6249194895,2.85945527510574,30-115kg,30,115
ID116,2025-12-31,2026-03-23,83,31603.0993616442,111075.234743504,218468.699718916,148,1005.97639723873,2632.15300866164,2.74899747778493,30-115kg,30,115
ID117,2026-01-12,2026-04-12,91,34933.225,111384,195108.55694533,175,932.326524390244,2144.05007632231,2.55208082514965,30-115kg,30,115
ID118,2025-12-30,2026-03-27,88,35368.6238616604,112162.666666667,212712.463990735,166,948.074602530941,2417.18709080381,2.7699083968121,30-115kg,30,115
